sta_id,sta_name,lat,lon
DPB,DEPOK BARU,-6.3911293,106.8216412
THI,TANAH TINGGI,-6.1751701,106.6467095
TNG,TANGERANG,-6.1769753,106.6320106
KRI,KRANJI,-6.2245133,106.9798267
CIT,CIBITUNG,-6.2618245,107.0837982
SDM,SUDIMARA,-6.2968441,106.7126471
PDJ,PONDOK RANJI,-6.2766831,106.7446926
JMU,JURANGMANGU,-6.2885820,106.7291463
DRN,DUREN KALIBATA,-6.2552012,106.8551672
CTA,CITAYAM,-6.4488237,106.8023619
CLG,CILEGON,-6.0197309,106.0531050
KRA,KARANGANTU,-6.0391664,106.1619836
RK,RANGKASBITUNG,-6.3527788,106.2515252
TGS,TIGARAKSA,-6.3288360,106.4340596
TEJ,TENJO,-6.3273185,106.4616586
PRP,PARUNGPANJANG,-6.3443444,106.5698462
DAR,DARU,-6.3379704,106.4925632
CC,CICAYUR,-6.3296830,106.6189713
CJT,CILEJIT,-6.3542652,106.5096432
NMO,NAMBO,-6.4662820,106.9062690
PDRG,PONDOK RAJEG,-6.4607829,106.8242960
CBN,CIBINONG,-6.4642482,106.8525201
CLT,CILEBUT,-6.5307239,106.8006884
DP,DEPOK,-6.4048263,106.8170842
CW,CAWANG,-6.2425517,106.8586903
UI,UNIVERSITAS INDONESIA,-6.3604315,106.8317820
TEB,TEBET,-6.2263977,106.8584389
BKS,BEKASI,-6.2362143,106.9987436
BUA,BUARAN,-6.2156064,106.9231600
CUK,CAKUNG,-6.2190810,106.9524791
CTR,CITERAS,-6.3350582,106.3326694
KMT,KRAMAT,-6.1936203,106.8565119
PSG,PESING,-6.1612525,106.7719077
POC,PONDOK CINA,-6.3690593,106.8320844
PI,PORIS,-6.1697346,106.6807523
SRP,SERPONG,-6.3201527,106.6655836
JNG,JATINEGARA,-6.2149252,106.8703394
GDD,GONDANGDIA,-6.1859109,106.8325657
POK,PONDOK JATI,-6.2091242,106.8623419
MRI,MANGGARAI,-6.2101704,106.8499350
CKI,CIKINI,-6.1985052,106.8412799
THB,TANAH ABANG,-6.1857127,106.8108938
PSE,PASAR SENEN,-6.1744233,106.8445744
PLM,PALMERAH,-6.2079197,106.7972321
PSMB,PASAR MINGGU BARU,-6.2627980,106.8517957
JUA,JUANDA,-6.1666746,106.8304609
KMO,KEMAYORAN,-6.1617033,106.8414012
KLD,KLENDER,-6.2133188,106.8994133
KLDB,KLENDER BARU,-6.2176591,106.9401833
KDS,KALIDERES,-6.1659662,106.7037283
SUDB,BNI CITY,-6.2015938,106.8197174
UP,UNIVERSITAS PANCASILA,-6.3393452,106.8342630
GST,GANG SENTIONG,-6.1861531,106.8508709
SW,SAWAH BESAR,-6.1606672,106.8276549
SUD,SUDIRMAN,-6.2024081,106.8234493
TNT,TANJUNG BARAT,-6.3080407,106.8389492
AK,ANGKE,-6.1447372,106.8007792
RJW,RAJAWALI,-6.1450996,106.8368325
DU,DURI,-6.1552764,106.8012968
MGB,MANGGA BESAR,-6.1498037,106.8269826
PSM,PASAR MINGGU,-6.2833322,106.8448558
JAY,JAYAKARTA,-6.1412999,106.8231322
LNA,LENTENG AGUNG,-6.3303079,106.8346791
TPK,TANJUNG PRIUK,-6.1106914,106.8814984
RW,RAWA BUAYA,-6.1627437,106.7227543
JAKK,JAKARTA KOTA,-6.1375828,106.8146203
GGL,GROGOL,-6.1620350,106.7896101
KBY,KEBAYORAN,-6.2372300,106.7825345
TKO,TAMAN KOTA,-6.1586270,106.7565728
AC,ANCOL,-6.1281150,106.8451374
BKST,BEKASI TIMUR,-6.2467953,107.0181046
CKY,CIKOYA,-6.3357385,106.4116547
CT,CATANG,-6.2656845,106.2678941
JBU,JAMBU BARU,-6.3029978,106.2604854
TLM,METLAND TELAGAMURNI,-6.2574741,107.1112270
RU,RAWA BUNTU,-6.3148840,106.6761518
BJD,BOJONGGEDE,-6.4932345,106.7950250
KPB,KAMPUNG BANDAN,-6.1327023,106.8284875
JIS,JAKARTA INTERNATIONAL STADIUM,-6.1228211,106.8613596
CSK,CISAUK,-6.3244445,106.6416257
MTR,MATRAMAN,-6.2125672,106.8597528
BOO,BOGOR,-6.5942887,106.7907695
TOJB,TONJONG BARU,-6.0312959,106.1214599
KEN,KRENCENG,-6.0098243,106.0231173
TB,TAMBUN,-6.2585496,107.0558044
BPR,BATU CEPER,-6.1720268,106.6652866
JTK,JATAKE,-6.3349941,106.6066128
WLT,WALANTAKA,-6.1554826,106.2187374
SG,SERANG,-6.1122940,106.1586822
CKR,CIKARANG,-6.2553138,107.1450733
BOI,BOJONG INDAH,-6.1602142,106.7361338
CKL,CIKEUSAL,-6.2170575,106.2446148
MJ,MAJA,-6.3325030,106.3964794
MER,MERAK,-5.9302409,105.9967938
